[2021-02-28T08:11:10+0000] [PACMAN] Running 'pacman -Syu --root /tmp/newmsys/msys64'
[2021-02-28T08:11:10+0000] [PACMAN] synchronizing package lists
[2021-03-24T20:04:43-0300] [ALPM] installed mingw-w64-x86_64-glib-networking (2.66.0-2)
[2021-03-24T20:04:45-0300] [ALPM] installed mingw-w64-x86_64-glade (3.38.2-1)
[2021-03-24T20:04:48-0300] [ALPM] installed mingw-w64-x86_64-glm (0.9.9.8-1)
[2021-03-24T20:04:48-0300] [ALPM] transaction completed
[2021-03-24T20:04:48-0300] [ALPM] running 'mingw-w64-x86_64-fontconfig.hook'...
[2021-03-24T20:04:48-0300] [ALPM] running 'mingw-w64-x86_64-gdk-pixbuf-query-loaders.hook'...
[2021-03-24T20:04:48-0300] [ALPM] running 'mingw-w64-x86_64-gio-querymodules.hook'...
[2021-03-24T20:04:48-0300] [ALPM] running 'mingw-w64-x86_64-glib-compile-schemas.hook'...
[2021-03-24T20:04:48-0300] [ALPM] running 'mingw-w64-x86_64-gtk-update-icon-cache.hook'...
[2021-03-30T23:37:16-0300] [PACMAN] Running 'pacman -S libutil-linux-devel'
[2021-03-30T23:37:20-0300] [ALPM] transaction started
[2021-03-30T23:37:20-0300] [ALPM] installed libutil-linux-devel (2.35.2-1)
[2021-03-30T23:37:20-0300] [ALPM] transaction completed
[2021-03-31T00:09:53-0300] [PACMAN] Running 'pacman -S mingw-w64-cross'
[2021-03-31T00:10:25-0300] [ALPM] transaction started
[2021-03-31T00:10:27-0300] [ALPM] installed mingw-w64-cross-binutils (2.35.1-1)
[2021-03-31T00:10:42-0300] [ALPM] installed mingw-w64-cross-headers-git (9.0.0.6029.ecb4ff54-2)
[2021-03-31T00:10:47-0300] [ALPM] installed mingw-w64-cross-crt-git (9.0.0.6029.ecb4ff54-2)
[2021-03-31T00:10:47-0300] [ALPM] installed mingw-w64-cross-winpthreads-git (9.0.0.6029.ecb4ff54-2)
[2021-03-31T00:10:47-0300] [ALPM] installed mingw-w64-cross-windows-default-manifest (6.4-2)
[2021-03-31T00:10:55-0300] [ALPM] installed mingw-w64-cross-gcc (10.2.0-1)
[2021-03-31T00:10:55-0300] [ALPM] installed mingw-w64-cross-tools-git (9.0.0.6029.ecb4ff54-2)
[2021-03-31T00:10:55-0300] [ALPM] installed mingw-w64-cross-winstorecompat-git (9.0.0.6029.ecb4ff54-2)
[2021-03-31T00:10:55-0300] [ALPM] installed mingw-w64-cross-zlib (1.2.11-1)
[2021-03-31T00:10:55-0300] [ALPM] transaction completed
